DISTRICT_NAME	AMPHUR_NAME
พระบรมมหาราชวัง	เขตพระนคร   
วังบูรพาภิรมย์   	เขตพระนคร   
วัดราชบพิธ   	เขตพระนคร   
สำราญราษฎร์   	เขตพระนคร   
ศาลเจ้าพ่อเสือ   	เขตพระนคร   
เสาชิงช้า   	เขตพระนคร   
บวรนิเวศ   	เขตพระนคร   
ตลาดยอด   	เขตพระนคร   
ชนะสงคราม   	เขตพระนคร   
บ้านพานถม   	เขตพระนคร   
บางขุนพรหม   	เขตพระนคร   
วัดสามพระยา   	เขตพระนคร   
ดุสิต   	เขตดุสิต   
วชิรพยาบาล   	เขตดุสิต   
สวนจิตรลดา   	เขตดุสิต   
สี่แยกมหานาค   	เขตดุสิต   
*บางซื่อ   	เขตดุสิต   
ถนนนครไชยศรี   	เขตดุสิต   
*สามเสนใน   	เขตดุสิต   
กระทุ่มราย   	เขตหนองจอก   
หนองจอก   	เขตหนองจอก   
คลองสิบ   	เขตหนองจอก   
คลองสิบสอง   	เขตหนองจอก   
โคกแฝด   	เขตหนองจอก   
คู้ฝั่งเหนือ   	เขตหนองจอก   
ลำผักชี   	เขตหนองจอก   
ลำต้อยติ่ง   	เขตหนองจอก   
มหาพฤฒาราม   	เขตบางรัก   
สีลม   	เขตบางรัก   
สุริยวงศ์   	เขตบางรัก   
บางรัก   	เขตบางรัก   
สี่พระยา   	เขตบางรัก   
*ลาดยาว   	เขตบางเขน   
อนุสาวรีย์   	เขตบางเขน   
คลองถนน*   	เขตบางเขน   
*ตลาดบางเขน   	เขตบางเขน   
*สีกัน   	เขตบางเขน   
สายไหม*   	เขตบางเขน   
*ทุ่งสองห้อง   	เขตบางเขน   
ท่าแร้ง   	เขตบางเขน   
ออเงิน*   	เขตบางเขน   
*บางเขน   	เขตบางเขน   
คลองจั่น   	เขตบางกะปิ   
วังทองหลาง*   	เขตบางกะปิ   
*ลาดพร้าว   	เขตบางกะปิ   
*คลองกุ่ม   	เขตบางกะปิ   
*สะพานสูง   	เขตบางกะปิ   
*คันนายาว   	เขตบางกะปิ   
*จรเข้บัว   	เขตบางกะปิ   
หัวหมาก   	เขตบางกะปิ   
รองเมือง   	เขตปทุมวัน   
วังใหม่   	เขตปทุมวัน   
ปทุมวัน   	เขตปทุมวัน   
ลุมพินี   	เขตปทุมวัน   
ป้อมปราบ   	เขตป้อมปราบศัตรูพ่าย   
วัดเทพศิรินทร์   	เขตป้อมปราบศัตรูพ่าย   
คลองมหานาค   	เขตป้อมปราบศัตรูพ่าย   
บ้านบาตร   	เขตป้อมปราบศัตรูพ่าย   
วัดโสมนัส   	เขตป้อมปราบศัตรูพ่าย   
*นางเลิ้ง   	เขตป้อมปราบศัตรูพ่าย   
*คลองเตย   	เขตพระโขนง   
*คลองตัน   	เขตพระโขนง   
*พระโขนง   	เขตพระโขนง   
บางนา*   	เขตพระโขนง   
บางจาก   	เขตพระโขนง   
*สวนหลวง   	เขตพระโขนง   
*หนองบอน   	เขตพระโขนง   
*ประเวศ   	เขตพระโขนง   
*ดอกไม้   	เขตพระโขนง   
*พระโขนง   	เขตพระโขนง   
*คลองตัน   	เขตพระโขนง   
*คลองเตย   	เขตพระโขนง   
มีนบุรี   	เขตมีนบุรี   
แสนแสบ   	เขตมีนบุรี   
บางชัน*   	เขตมีนบุรี   
ทรายกองดิน*   	เขตมีนบุรี   
ทรายกองดินใต้*   	เขตมีนบุรี   
สามวาตะวันออก*   	เขตมีนบุรี   
สามวาตะวันตก*   	เขตมีนบุรี   
ลาดกระบัง   	เขตลาดกระบัง   
คลองสองต้นนุ่น   	เขตลาดกระบัง   
คลองสามประเวศ   	เขตลาดกระบัง   
ลำปลาทิว   	เขตลาดกระบัง   
ทับยาว   	เขตลาดกระบัง   
ขุมทอง   	เขตลาดกระบัง   
*ทุ่งวัดดอน   	เขตยานนาวา   
*ยานนาวา   	เขตยานนาวา   
ช่องนนทรี   	เขตยานนาวา   
บางโพงพาง   	เขตยานนาวา   
*วัดพระยาไกร   	เขตยานนาวา   
*บางโคล่   	เขตยานนาวา   
*บางคอแหลม   	เขตยานนาวา   
*ทุ่งมหาเมฆ   	เขตยานนาวา   
*บางโคล่   	เขตยานนาวา   
*บางคอแหลม   	เขตยานนาวา   
จักรวรรดิ   	เขตสัมพันธวงศ์   
สัมพันธวงศ์   	เขตสัมพันธวงศ์   
ตลาดน้อย   	เขตสัมพันธวงศ์   
สามเสนใน   	เขตพญาไท   
*ถนนเพชรบุรี   	เขตพญาไท   
*ทุ่งพญาไท   	เขตพญาไท   
*มักกะสัน   	เขตพญาไท   
*ถนนพญาไท   	เขตพญาไท   
*ทุ่งพญาไท   	เขตพญาไท   
วัดกัลยาณ์   	เขตธนบุรี   
หิรัญรูจี   	เขตธนบุรี   
บางยี่เรือ   	เขตธนบุรี   
บุคคโล   	เขตธนบุรี   
ตลาดพลู   	เขตธนบุรี   
ดาวคะนอง   	เขตธนบุรี   
สำเหร่   	เขตธนบุรี   
*คลองสาน   	เขตธนบุรี   
วัดอรุณ   	เขตบางกอกใหญ่   
วัดท่าพระ   	เขตบางกอกใหญ่   
ห้วยขวาง   	เขตห้วยขวาง   
บางกะปิ   	เขตห้วยขวาง   
*ดินแดง   	เขตห้วยขวาง   
สามเสนนอก   	เขตห้วยขวาง   
สมเด็จเจ้าพระยา   	เขตคลองสาน   
คลองสาน   	เขตคลองสาน   
บางลำภูล่าง   	เขตคลองสาน   
คลองต้นไทร   	เขตคลองสาน   
คลองชักพระ   	เขตตลิ่งชัน   
ตลิ่งชัน   	เขตตลิ่งชัน   
ฉิมพลี   	เขตตลิ่งชัน   
บางพรม   	เขตตลิ่งชัน   
บางระมาด   	เขตตลิ่งชัน   
ทวีวัฒนา*   	เขตตลิ่งชัน   
บางเชือกหนัง   	เขตตลิ่งชัน   
ศาลาธรรมสพน์*   	เขตตลิ่งชัน   
*บางพลัด   	เขตบางกอกน้อย   
*บางบำหรุ   	เขตบางกอกน้อย   
*บางอ้อ   	เขตบางกอกน้อย   
ศิริราช   	เขตบางกอกน้อย   
บ้านช่างหล่อ   	เขตบางกอกน้อย   
บางขุนนนท์   	เขตบางกอกน้อย   
บางขุนศรี   	เขตบางกอกน้อย   
*บางยี่ขัน   	เขตบางกอกน้อย   
อรุณอมรินทร์   	เขตบางกอกน้อย   
*บางยี่ขัน   	เขตบางกอกน้อย   
*บางบำหรุ   	เขตบางกอกน้อย   
*บางอ้อ   	เขตบางกอกน้อย   
*บางค้อ   	เขตบางขุนเทียน   
*จอมทอง   	เขตบางขุนเทียน   
*บางขุนเทียน   	เขตบางขุนเทียน   
บางบอน*   	เขตบางขุนเทียน   
ท่าข้าม   	เขตบางขุนเทียน   
*บางมด   	เขตบางขุนเทียน   
แสมดำ   	เขตบางขุนเทียน   
บางหว้า   	เขตภาษีเจริญ   
บางด้วน   	เขตภาษีเจริญ   
บางแค   	เขตภาษีเจริญ   
บางแคเหนือ   	เขตภาษีเจริญ   
บางไผ่   	เขตภาษีเจริญ   
บางจาก   	เขตภาษีเจริญ   
บางแวก   	เขตภาษีเจริญ   
คลองขวาง   	เขตภาษีเจริญ   
ปากคลองภาษีเจริญ   	เขตภาษีเจริญ   
คูหาสวรรค์   	เขตภาษีเจริญ   
หลักสอง*   	เขตหนองแขม   
หนองแขม   	เขตหนองแขม   
หนองค้างพลู   	เขตหนองแขม   
ราษฎร์บูรณะ   	เขตราษฎร์บูรณะ   
บางปะกอก   	เขตราษฎร์บูรณะ   
บางมด*   	เขตราษฎร์บูรณะ   
ทุ่งครุ*   	เขตราษฎร์บูรณะ   
บางพลัด   	เขตบางพลัด   
บางอ้อ   	เขตบางพลัด   
บางบำหรุ   	เขตบางพลัด   
บางยี่ขัน   	เขตบางพลัด   
ดินแดง   	เขตดินแดง   
คลองกุ่ม   	เขตบึงกุ่ม   
สะพานสูง   	เขตบึงกุ่ม   
คันนายาว   	เขตบึงกุ่ม   
ทุ่งวัดดอน   	เขตสาทร   
ยานนาวา   	เขตสาทร   
ทุ่งมหาเมฆ   	เขตสาทร   
บางซื่อ   	เขตบางซื่อ   
ลาดยาว   	เขตจตุจักร   
เสนานิคม   	เขตจตุจักร   
จันทรเกษม   	เขตจตุจักร   
จอมพล   	เขตจตุจักร   
จตุจักร   	เขตจตุจักร   
บางคอแหลม   	เขตบางคอแหลม   
วัดพระยาไกร   	เขตบางคอแหลม   
บางโคล่   	เขตบางคอแหลม   
ประเวศ   	เขตประเวศ   
หนองบอน   	เขตประเวศ   
ดอกไม้   	เขตประเวศ   
สวนหลวง   	เขตประเวศ   
คลองเตย   	เขตคลองเตย   
คลองตัน   	เขตคลองเตย   
พระโขนง   	เขตคลองเตย   
คลองเตยเหนือ   	เขตคลองเตย   
คลองตันเหนือ   	เขตคลองเตย   
พระโขนงเหนือ   	เขตคลองเตย   
สวนหลวง   	เขตสวนหลวง   
บางขุนเทียน   	เขตจอมทอง   
บางค้อ   	เขตจอมทอง   
บางมด   	เขตจอมทอง   
จอมทอง   	เขตจอมทอง   
ตลาดบางเขน*   	เขตดอนเมือง   
สีกัน   	เขตดอนเมือง   
ทุ่งสองห้อง*   	เขตดอนเมือง   
ทุ่งพญาไท   	เขตราชเทวี   
ถนนพญาไท   	เขตราชเทวี   
ถนนเพชรบุรี   	เขตราชเทวี   
มักกะสัน   	เขตราชเทวี   
ลาดพร้าว   	เขตลาดพร้าว   
จรเข้บัว   	เขตลาดพร้าว   
คลองเตยเหนือ   	เขตวัฒนา   
คลองตันเหนือ   	เขตวัฒนา   
พระโขนงเหนือ   	เขตวัฒนา   
บางแค   	เขตบางแค   
บางแคเหนือ   	เขตบางแค   
บางไผ่   	เขตบางแค   
หลักสอง   	เขตบางแค   
ทุ่งสองห้อง   	เขตหลักสี่   
ตลาดบางเขน   	เขตหลักสี่   
สายไหม   	เขตสายไหม   
ออเงิน   	เขตสายไหม   
คลองถนน   	เขตสายไหม   
คันนายาว   	เขตคันนายาว   
สะพานสูง   	เขตสะพานสูง   
วังทองหลาง   	เขตวังทองหลาง   
สามวาตะวันตก   	เขตคลองสามวา   
สามวาตะวันออก   	เขตคลองสามวา   
บางชัน   	เขตคลองสามวา   
ทรายกองดิน   	เขตคลองสามวา   
ทรายกองดินใต้   	เขตคลองสามวา   
บางนา   	เขตบางนา   
ทวีวัฒนา   	เขตทวีวัฒนา   
ศาลาธรรมสพน์   	เขตทวีวัฒนา   
บางมด   	เขตทุ่งครุ   
ทุ่งครุ   	เขตทุ่งครุ   
บางบอน   	เขตบางบอน   
ปากน้ำ   	เมืองสมุทรปราการ   
สำโรงเหนือ   	เมืองสมุทรปราการ   
บางเมือง   	เมืองสมุทรปราการ   
ท้ายบ้าน   	เมืองสมุทรปราการ   
*นาเกลือ   	เมืองสมุทรปราการ   
*แหลมฟ้าผ่า   	เมืองสมุทรปราการ   
*ในคลองบางปลากด   	เมืองสมุทรปราการ   
บางปูใหม่   	เมืองสมุทรปราการ   
*ปากคลองบางปลากด   	เมืองสมุทรปราการ   
แพรกษา   	เมืองสมุทรปราการ   
บางโปรง   	เมืองสมุทรปราการ   
บางปู   	เมืองสมุทรปราการ   
บางด้วน   	เมืองสมุทรปราการ   
บางเมืองใหม่   	เมืองสมุทรปราการ   
เทพารักษ์   	เมืองสมุทรปราการ   
ท้ายบ้านใหม่   	เมืองสมุทรปราการ   
แพรกษาใหม่   	เมืองสมุทรปราการ   
*บางปูเก่า   	เมืองสมุทรปราการ   
*ในคลองบางปลากด   	เมืองสมุทรปราการ   
*ปากคลองบางปลากด   	เมืองสมุทรปราการ   
*แหลมฟ้าผ่า   	เมืองสมุทรปราการ   
*บ้านคลองสวน   	เมืองสมุทรปราการ   
*นาเกลือ   	เมืองสมุทรปราการ   
บางบ่อ   	บางบ่อ   
บ้านระกาศ   	บางบ่อ   
บางพลีน้อย   	บางบ่อ   
บางเพรียง   	บางบ่อ   
คลองด่าน   	บางบ่อ   
คลองสวน   	บางบ่อ   
เปร็ง   	บางบ่อ   
คลองนิยมยาตรา   	บางบ่อ   
คลองนิยม*   	บางบ่อ   
บางพลีใหญ่   	บางพลี   
บางแก้ว   	บางพลี   
บางปลา   	บางพลี   
บางโฉลง   	บางพลี   
*บางเสาธง   	บางพลี   
*ศรีษะจรเข้ใหญ่   	บางพลี   
*ศรีษะจรเข้น้อย   	บางพลี   
ราชาเทวะ   	บางพลี   
หนองปรือ   	บางพลี   
ตลาด   	พระประแดง   
บางพึ่ง   	พระประแดง   
บางจาก   	พระประแดง   
บางครุ   	พระประแดง   
บางหญ้าแพรก   	พระประแดง   
บางหัวเสือ   	พระประแดง   
สำโรงใต้   	พระประแดง   
บางยอ   	พระประแดง   
บางกะเจ้า   	พระประแดง   
บางน้ำผึ้ง   	พระประแดง   
บางกระสอบ   	พระประแดง   
บางกอบัว   	พระประแดง   
ทรงคนอง   	พระประแดง   
สำโรง   	พระประแดง   
สำโรงกลาง   	พระประแดง   
นาเกลือ   	พระสมุทรเจดีย์   
บ้านคลองสวน   	พระสมุทรเจดีย์   
แหลมฟ้าผ่า   	พระสมุทรเจดีย์   
ปากคลองบางปลากด   	พระสมุทรเจดีย์   
ในคลองบางปลากด   	พระสมุทรเจดีย์   
บางเสาธง   	บางเสาธง   
ศีรษะจรเข้น้อย   	บางเสาธง   
ศีรษะจรเข้ใหญ่   	บางเสาธง   
สวนใหญ่   	เมืองนนทบุรี   
ตลาดขวัญ   	เมืองนนทบุรี   
บางเขน   	เมืองนนทบุรี   
บางกระสอ   	เมืองนนทบุรี   
ท่าทราย   	เมืองนนทบุรี   
บางไผ่   	เมืองนนทบุรี   
บางศรีเมือง   	เมืองนนทบุรี   
บางกร่าง   	เมืองนนทบุรี   
ไทรม้า   	เมืองนนทบุรี   
บางรักน้อย   	เมืองนนทบุรี   
วัดชลอ   	บางกรวย   
บางกรวย   	บางกรวย   
บางสีทอง   	บางกรวย   
บางขนุน   	บางกรวย   
บางขุนกอง   	บางกรวย   
บางคูเวียง   	บางกรวย   
มหาสวัสดิ์   	บางกรวย   
ปลายบาง   	บางกรวย   
ศาลากลาง   	บางกรวย   
บางม่วง   	บางใหญ่   
บางแม่นาง   	บางใหญ่   
บางเลน   	บางใหญ่   
เสาธงหิน   	บางใหญ่   
บางใหญ่   	บางใหญ่   
บ้านใหม่   	บางใหญ่   
โสนลอย   	บางบัวทอง   
บางบัวทอง   	บางบัวทอง   
บางรักใหญ่   	บางบัวทอง   
บางคูรัด   	บางบัวทอง   
ละหาร   	บางบัวทอง   
ลำโพ   	บางบัวทอง   
พิมลราช   	บางบัวทอง   
บางรักพัฒนา   	บางบัวทอง   
ไทรน้อย   	ไทรน้อย   
ราษฎร์นิยม   	ไทรน้อย   
หนองเพรางาย   	ไทรน้อย   
ไทรใหญ่   	ไทรน้อย   
ขุนศรี   	ไทรน้อย   
คลองขวาง   	ไทรน้อย   
ทวีวัฒนา   	ไทรน้อย   
ปากเกร็ด   	ปากเกร็ด   
บางตลาด   	ปากเกร็ด   
บ้านใหม่   	ปากเกร็ด   
บางพูด   	ปากเกร็ด   
บางตะไนย์   	ปากเกร็ด   
คลองพระอุดม   	ปากเกร็ด   
ท่าอิฐ   	ปากเกร็ด   
เกาะเกร็ด   	ปากเกร็ด   
อ้อมเกร็ด   	ปากเกร็ด   
คลองข่อย   	ปากเกร็ด   
บางพลับ   	ปากเกร็ด   
คลองเกลือ   	ปากเกร็ด   
บางปรอก   	เมืองปทุมธานี   
